,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
55,J0109-3047,"Banados et al. (2016), Venemans et al. (2020), Mazzuchelli et al. (2017)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://iopscience.iop.org/article/10.3847/1538-4357/aa9185/pdf",VIK,01:09:53.13,-30:47:26.31,,6.7904,0.0003,0.0003,1.33e9,0.38e9,0.62e9,0.51e47,0.05e47,0.06e47,0.294968,0.0891001,0.141815,-25.64,,,,,,,,,,,,,,,"z from Venemans et al. (2020), L_bol, mass, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2017)"
56,J1612+5559,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,16:12:07.12,+55:59:19.20,,6.78,,,6.674e7,2.288e7,1.704e7,,,,,,,-23.02,0.32,0.32,,,,,,,,,,,,,mass using formula [1]
57,J0829+4117,"Wang et al. (2019), Yang et al. (2021)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",DELS,08:29:31.98,+41:17:40.90,,6.768,0.006,0.006,0.71e9,0.02e9,0.02e9,12.8e46,1.2e46,1.2e46,1.4,0.1,0.1,-26.36,0.15,0.15,,,,<19-122,,,,,,,,,"mass, L_bol, f_Edd from Yang et al. (2021), coordinates, SFR_CII from Wang et al. (2024)"
58,J1104+2134,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,11:04:21.58,+21:34:28.90,,6.7662,0.0009,0.0009,1.69e9,0.15e9,0.15e9,15.1e46,0.9e46,0.9e46,0.7,0.1,0.1,-26.67,0.13,0.13,,,,,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019)"
59,J0244-5008,Reed et al. (2019),https://academic.oup.com/mnras/article/487/2/1874/5505847,VDES,02:44:01.02,-50:08:53.70,,6.724,0.0008,0.0008,1.15e9,0.39e9,0.39e9,1.44e47,0.02e47,0.02e47,0.96,0.33,0.33,-26.72,0.05,0.05,,,,,,,,,,,,,
60,J0910+1656,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,09:10:13.65,+16:56:30.20,,6.7289,0.0005,0.0005,0.41e9,0.03e9,0.03e9,5.3e46,0.6e46,0.6e46,1.0,0.1,0.1,-25.57,0.14,0.14,,,,105-658,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019)"
61,J1344+0128,Matusuka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,13:44:00.87,+01:28:27.80,,6.72,,,1.001e8,1.483e7,1.292e7,,,,,,,-23.46,0.15,0.15,,,,,,,,,,,,,mass using formula [1]
62,J0213-0626,"Matsuoka et al. (2018), Wang et al. (2024)","https://arxiv.org/pdf/1803.01861, https://arxiv.org/html/2404.15413v1#S1",HSC,02:13:16.94,-06:26:15.20,,6.72,,,5.157e8,9.588e6,9.413e6,1.514e44,7.133e42,6.812e42,,,,-25.24,0.02,0.02,,,,13-86,,,,,,,,,mass using formula [1]
63,J0837+4929,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,08:37:37.83,+49:29:00.60,,6.710,0.008,0.008,0.81e9,0.01e9,0.01e9,14.5e46,0.4e46,0.4e46,1.4,0.1,0.1,-26.42,0.18,0.18,,,,36-229,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019)"
64,J0001+0000,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,00:01:42.54,+00:00:57.50,,6.69,,,2.585e8,1.866e8,1.084e8,,,,,,,-24.49,0.59,0.59,,,,,,,,,,,,,mass using formula [1]
