,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
22,J0332-2748/JADES-GS+53.13284-27.80186/GS-8083/8083,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,03:32:31.88,-27:48:06.70,,4.753,,,1.288e7,1.342e7,6.573e6,1.148e44,1.401e43,1.249e43,0.07,0.01,0.01,,,,,,,,,,,,,2.818e8,2.016e7,1.881e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
23,J1236+6215/JADES-GN+189.22059+62.26368/GN-11836/11836,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:52.94,+62:15:49.25,,4.409,,,1.000e7,1.089e7,5.214e6,1.585e44,1.934e43,1.724e43,0.13,0.03,0.02,,,,,,,,,,,,,6.166e7,6.137e7,3.076e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
24,J1236+6217/JADES-GN+189.12252+62.29285/GN-20621/20621,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:29.40,+62:17:34.26,,4.682,,,1.230e7,1.524e7,6.679e6,1.738e44,1.213e44,6.158e43,0.11,0.06,0.03,,,,,,,,,,,,,1.148e8,4.606e8,9.191e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
25,J1237+6211/JADES-GN+189.26978+62.19421/GN-53757/53757,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:37:04.75,+62:11:39.16,,4.447,,,2.138e7,2.227e7,1.091e7,1.950e44,9.189e42,8.776e42,0.07,0.01,0.009,,,,,,,,,,,,,1.514e10,5.282e9,3.654e9,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
26,J1236+6213/JADES-GN+189.16802+62.21701 /GN-61888/61888,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:40.32,+62:13:01.24,,5.874,,,1.202e7,1.368e7,6.268e6,2.884e44,1.006e44,5.932e43,0.20,0.06,0.03,,,,,,,,,,,,,1.288e8,9.427e8,1.133e8,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
27,J1236+6213/JADES-GN+189.24898+62.21835/GN-62309/62309,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:59.76,+62:13:06.06,,5.172,,,1.995e6,2.576e6,1.062e6,3.715e43,1.297e43,8.970e42,0.15,0.05,0.05,,,,,,,,,,,,,1.318e8,4.195e7,3.410e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
28,J1236+6210/JADES-GN+189.1974+62.17723/GN-73488/73488,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:47.38,+62:10:38.03,,4.133,,,8.913e7,8.870e7,4.446e7,2.818e45,4.929e44,3.065e44,0.25,0.02,0.02,,,,,,,,,,,,,6.026e9,3.524e9,2.224e9,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
29,J1237+6211/JADES-GN+189.29323+62.199/GN-77652/77652,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:37:10.38,+62:11:56.40,,5.229,,,4.169e6,4.951e6,2.173e6,1.288e44,1.243e43,1.401e43,0.24,0.09,0.08,,,,,,,,,,,,,7.413e7,3.302e7,3.523e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
30,J0332-2749/JADES-GS+53.12654-27.81809/GS-10013704/10013704,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,03:32:30.37,-27:49:05.12,,5.919,,,2.754e7,2.869e7,1.405e7,1.950e44,9.189e42,8.776e42,0.055,0.007,0.006,,,,,,,,,,,,,7.586e8,2.709e9,5.926e8,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
31,J0332-2753/GS_3073,"Ubler et al. (2023), Barchiesi et al. (2022)","https://arxiv.org/abs/2302.06647, https://arxiv.org/pdf/2212.00038",JWST,03:32:18.93,-27:53:02.96,,5.55,,,1.58489e8,2.39618e8,9.53936e7,5.0e45,1.08e46,3.43e45,0.25,1.35,0.15,,,,,,,16,14,7,,,,,,,"use H-alpha for mass, use geometric mean of two method for L_bol, SFR [90 (+30/-30)] from Barchiesi et al. (2022)"
32,J1420+5302/CEERS_01244,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:57.76,+53:02:09.80,,4.478,,,3.2e7,0.3e7,0.2e7,1.9e45,3.8e45,0.6e45,0.46,1.04,0.16,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
33,J0014-3025/GLASS_160133,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,00:14:19.27,-30:25:27.80,,4.015,,,2.3e6,0.1e6,0.1e6,1.1e45,6.1e45,0.9e45,3.68,21.21,2.84,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
34,J0014-3025/GLASS_150029,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,00:14:18.52,-30:25:21.30,,4.583,,,3.7e6,0.2e6,0.3e6,9.1e44,13.8e44,7.1e44,1.89,3.31,1.49,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
35,J1419+5252/CEERS_00746/CEERS 3210,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:19:14.19,+52:52:06.05,,5.624,,,5.8e7,1.5e7,1.3e7,1.1e46,0.1e46,0.2e46,1.47,0.60,0.52,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
36,J1420+5303/CEERS_01665,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:42.77,+53:03:33.07,,4.483,,,1.9e7,0.8e7,0.5e7,4.8e45,7.2e45,3.6e45,1.93,4.61,1.59,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
37,J1419+5249/CEERS_00672,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:19:33.52,+52:49:58.07,,5.666,,,5.0e7,1.7e7,1.3e7,4.3e45,0.4e45,1.4e45,0.65,0.31,0.33,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
38,J1419+5249/CEERS_02782/CEERS 1670,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:19:17.63,+52:49:49.00,,5.241,,,4.2e7,1.2e7,1.0e7,2.8e45,2.3e45,1.4e45,0.51,0.71,0.32,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
39,J1419+5252/CEERS_00397,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:19:20.69,+52:52:57.07,,6.000,,,1.0e7,0.8e7,0.5e7,2.8e45,14.2e45,2.2e45,2.02,20.68,1.80,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
40,J1420+5258/CEERS_00717,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:19.54,+52:58:19.09,,6.936,,,9.8e7,4.4e7,3.2e7,7.1e44,51.8e44,4.3e44,0.06,0.63,0.04,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
41,J1420+5258/CEERS_01236,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:34.87,+52:58:02.02,,4.484,,,1.8e7,1.0e7,0.6e7,1.8e44,2.6e44,0.5e44,0.08,0.20,0.04,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
42,J1129+1846//P172+18/J172+18/J172.3+18.77,"Banados et al. (2021), Wang et al. (2024)","https://www.mpg.de/16498963/mpia-pr_banados_quasar_2021_preprint.pdf, https://arxiv.org/html/2404.15413v1#S1",PSO,11:29:25.37,+18:46:24.29,,6.823,0.003,0.001,2.9e8,0.7e8,0.6e8,6.5e46,,,2.2,0.6,0.4,-25.81,0.10,0.10,,,,<5-35,,,,,,,,,SFR_CII from Wang et al. (2024)
43,J2157-3602,"Wolf et al. (2018), Onken et al. (2020), Lai et al. (2023)","https://arxiv.org/abs/1805.04317, https://arxiv.org/pdf/2005.06868, https://arxiv.org/pdf/2302.10397",SMSS,21:57:28.23,-36:02:15.21,,4.692,,,2.042e10,9.782e9,5.626e9,7.413e47,1.919e47,1.525e47,0.29,0.11,0.10,,,,,,,,,,,,,,,,"z from Onken et al. (2020), mass, L_bol, f_Edd from Lai et al. (2023)"
44,J1609+5328,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,16:09:53.03,+53:28:21.00,,6.92,,,5.205e7,1.903e8,4.087e7,,,,,,,-22.75,1.67,1.67,,,,,,,,,,,,,mass using formula [1]
45,J0839+3900,"Wang et al. (2019), Yang et al. (2021)","https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32",DELS,08:39:46.88,+39:00:11.50,,6.905,0.01,0.01,0.671e9,0.003e9,0.003e9,1.78e46,0.7e46,0.7e46,2.1,0.1,0.1,-26.29,0.20,0.20,,,,,,,,,,,,,"mass, L_bol, f_Edd from Yang et al. (2019)"
46,J2348-3054,"Banados et al. (2016), Venemans et al. (2020), Venemens et al. (2015), Venemans et al. (2013), Mazzucchelli et al. (2017)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://iopscience.iop.org/article/10.3847/0004-637X/816/1/37/meta, https://iopscience.iop.org/article/10.1088/0004-637X/779/1/24, https://iopscience.iop.org/article/10.3847/1538-4357/aa9185/pdf",VIK,23:48:33.34,-30:54:10.24,,6.9007,0.0005,0.0005,2.1e9,0.5e9,0.5e9,0.43e47,0.20e47,0.13e47,0.167055,0.0913789,0.0870263,-25.72,0.14,0.14,,,,100-680,,,,,,,,,"z from Venemans et al. (2020), SFR from Venemens et al. (2015), mass, M1450 from Venemans et al. (2013), L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2017)"
47,J2210+0304,Matsuoka et al. (2018),https://arxiv.org/pdf/1803.01861,HSC,22:10:27.24,+03:04:28.50,,6.9,,,2.468e8,1.402e7,1.327e7,,,,,,,-24.44,0.06,0.06,,,,,,,,,,,,,mass using formula [1]
48,J2211-6320,"Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",DES,22:11:00.60,-63:20:55.90,,6.8449,0.0003,0.0003,0.55e9,0.24e9,0.24e9,5.9e46,0.2e46,0.2e46,0.8,0.4,0.4,-25.38,,,,,,132-828,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024)"
49,J0246-5219,"Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",DES,02:46:55.90,-52:19:49.90,,6.8876,0.0003,0.0003,1.05e9,0.37e9,0.37e9,10.2e46,1.0e46,1.0e46,0.8,0.3,0.3,-25.36,,,,,,193-1210,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024)"
50,J0020-3653,Reed et al. (2019),https://academic.oup.com/mnras/article/487/2/1874/5505847,VDES,00:20:31.47,-36:53:41.80,,6.834,0.0004,0.0004,1.67e9,0.32e9,0.32e9,1.35e47,0.03e47,0.03e47,0.62,0.12,0.12,-26.92,0.03,0.03,,,,,,,,,,,,,
51,J0319-1008,"Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",DES,03:19:41.66,-10:08:46.00,,6.8275,0.0021,0.0021,0.40e9,0.03e9,0.03e9,9.6e46,1.4e46,1.4e46,1.9,0.3,0.3,-25.36,,,,,,146-916,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024)"
52,J0112+0110,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,01:12:57.84,+01:10:42.40,,6.82,,,1.755e8,6.678e7,4.838e7,,,,,,,-24.07,0.35,0.35,,,,,,,,,,,,,mass using formula [1]
53,J0411-0907,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,04:11:28.63,-09:07:49.70,,6.8260,0.0007,0.0007,0.95e9,0.09e9,0.09e9,15.9e46,1.0e46,1.0e46,1.3,0.2,0.2,-26.61,0.12,0.12,,,,119-745,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019)"
54,J1429-0104,Matsuoka et al. (2018),https://arxiv.org/pdf/1704.05854,HSC,14:29:03.08,-01:04:43.40,,6.8,,,6.552e7,1.773e7,1.395e7,,,,,,,-23.00,0.26,0.26,,,,,,,,,,,,,mass using formula [1]
